game_id,rush_attempt,pass_attempt,sack,passing_yards,rushing_yards,home_team,away_team,total_home_score,total_away_score,is_home_team,win
2024_09_WAS_NYG,31.0,30.0,2.0,174.0,164.0,NYG,WAS,22,27,True,0
2024_09_WAS_NYG,38.0,22.0,0.0,209.0,149.0,NYG,WAS,22,27,False,1
2024_10_ATL_NO,32.0,41.0,3.0,306.0,181.0,NO,ATL,20,17,False,0
2024_10_ATL_NO,27.0,25.0,0.0,269.0,96.0,NO,ATL,20,17,True,1
2024_10_BUF_IND,31.0,39.0,2.0,280.0,135.0,IND,BUF,20,30,False,1
2024_10_BUF_IND,22.0,39.0,4.0,272.0,121.0,IND,BUF,20,30,True,0
2024_10_CIN_BAL,26.0,33.0,0.0,290.0,99.0,BAL,CIN,35,34,True,1
2024_10_CIN_BAL,16.0,60.0,3.0,428.0,49.0,BAL,CIN,35,34,False,0
2024_10_DEN_KC,23.0,32.0,2.0,215.0,78.0,KC,DEN,16,14,False,0
2024_10_DEN_KC,19.0,46.0,4.0,266.0,57.0,KC,DEN,16,14,True,1
2024_10_DET_HOU,33.0,30.0,0.0,240.0,105.0,HOU,DET,23,26,False,1
